QBs
Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
Jordan Love,QB,GB,4.0,241.0,60.0,98.0,7.0,0.0,61.0,61.0,88.2,36.6
Russell Wilson,QB,DEN,4.0,240.0,60.0,100.0,5.0,0.0,60.0,60.0,79.5,33.1
CJ Stroud,QB,HOU,4.0,288.0,72.0,100.0,5.0,0.0,58.0,58.0,73.6,25.6
Brock Purdy,QB,SF,4.0,256.0,64.0,97.0,5.0,0.0,48.0,48.0,73.1,28.6
Baker Mayfield,QB,TB,4.0,257.0,64.0,100.0,9.0,0.0,58.0,58.0,69.3,27.0
Jared Goff,QB,DET,4.0,281.0,70.0,100.0,4.0,0.0,51.0,51.0,69.3,24.7
Joshua Dobbs,QB,ARI,4.0,259.0,65.0,100.0,9.0,0.0,57.0,57.0,66.7,25.8
Sam Howell,QB,WAS,4.0,276.0,69.0,100.0,4.0,0.0,55.0,55.0,61.7,22.4
Matthew Stafford,QB,LAR,4.0,298.0,75.0,100.0,3.0,0.0,59.0,59.0,61.2,20.5
Mac Jones,QB,NE,4.0,266.0,67.0,95.0,5.0,0.0,60.0,60.0,55.8,21.0


WR/RB/TE
